EVENTID,RATE,PERSPVALUE,EXPVALUE,STDDEVC,STDDEVI
zone_coastal_high_risk,0.0816252169696136,13704017.706054688,285221002.0,13391122.950570645,3402831.3888718784
zone_high_risk,0.04076198056122209,180103496.6298828,1101134336.0,140193162.60444325,5782570.558207043
zone_minimal_risk,0.013898139519386047,2160347.0791015625,9127500.0,1261327.0898137358,495201.53845627356
zone_moderate_risk,0.014459892526943758,54860293.744628906,366876920.0,33411134.475454893,3310549.346567078
zone_unknown,0.01451355764921656,213892617.7709961,1166124006.0,145975958.1384871,5982398.193069722
